,PLACE_OF_DISPATCH,PORT_OF_LOADING,PORT_OF_DISCHARGE,POST_PORT_OF_DISCHARGE,PLACE_OF_DISPATCH_DATE,PORT_OF_LOADING_DATE,PORT_OF_DISCHARGE_DATE,POST_PORT_OF_DISCHARGE_DATE,PREDICTED_DELIVERED_DATE,DELIVERED_DATE,delivered_in_days,Dispatch_month,Dispatch_weak,Loading_month,Loading_weak
1329,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-11-10,2021-11-16,2022-01-06,2022-01-14,2022-01-14,2022-01-18,69,11,2,11,1
1332,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",2021-12-04,2021-12-08,2022-01-17,1900-01-01,2022-01-20,2022-01-21,48,12,5,12,2
1333,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-11-08,2021-11-15,2022-01-07,2022-01-14,2022-01-17,2022-01-19,72,11,0,11,0
1334,"Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-11-09,2021-11-13,2022-01-09,2022-01-18,2022-01-20,2022-01-21,73,11,1,11,5
1335,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-10-25,2021-11-02,2021-12-21,2021-12-27,2021-12-30,2022-01-06,73,10,0,11,1
1337,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-10-24,2021-10-25,2021-12-25,2022-01-07,2021-12-29,2022-01-07,75,10,6,10,0
1338,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-10-22,2021-10-23,2021-11-18,2021-12-02,2021-12-02,2021-12-06,45,10,4,10,5
1339,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-11-10,2021-11-12,2022-01-07,2022-01-14,2022-01-17,2022-01-19,70,11,2,11,4
1340,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-11-10,2021-11-14,2021-12-11,2021-12-18,2021-12-17,2021-12-20,40,11,2,11,6
1341,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-11-09,2021-11-12,2022-01-06,2022-01-14,2022-01-17,2022-01-19,71,11,1,11,4
1343,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",2021-12-02,2021-12-02,2022-01-03,1900-01-01,2022-01-13,2022-01-13,42,12,3,12,3
1344,"Fuzhou, Fujian Sheng, China","Fuzhou, Fujian Sheng, China","Houston, Texas, United States","Houston, Texas, United States",2021-11-26,2021-11-26,2022-01-24,1900-01-01,2022-02-01,2022-02-09,75,11,4,11,4
1347,"Qingdao, Shandong Sheng, China","Qingdao, Shandong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",2021-11-13,2021-11-20,2021-12-18,2021-12-24,2021-12-28,2021-12-30,47,11,5,11,5
1350,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-11-08,2021-11-15,2022-01-06,2022-01-14,2022-01-17,2022-01-19,72,11,0,11,0
1351,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Los Angeles, California, United States","Fort Worth, Texas, United States",2021-11-11,2021-11-11,2022-01-14,2022-01-18,2022-01-19,2022-01-21,71,11,3,11,3
1354,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Los Angeles, California, United States","Fort Worth, Texas, United States",2021-11-26,2021-11-26,2022-02-03,2022-02-11,2022-02-11,2022-02-16,82,11,4,11,4
1358,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",2021-10-24,2021-11-16,2021-12-03,2021-12-10,2021-12-10,2021-12-13,50,10,6,11,1
1360,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Oakland, California, United States","Dallas, Texas, United States",2021-11-23,2021-11-23,2022-01-05,2022-01-26,2022-01-28,2022-01-31,69,11,1,11,1
1361,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Houston, Texas, United States","Houston, Texas, United States",2021-11-30,2021-12-13,2022-01-23,1900-01-01,2022-01-26,2022-01-26,57,11,1,12,0
1363,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",2021-10-09,2021-10-14,2021-12-30,2022-01-02,2022-01-05,2022-01-11,94,10,5,10,3
1369,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",2021-12-21,2021-12-21,2022-01-22,2022-01-23,2022-01-24,2022-01-25,35,12,1,12,1
1371,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",2021-10-24,2021-11-16,2021-12-03,2021-12-09,2021-12-09,2021-12-10,47,10,6,11,1
1376,"Qingdao, Shandong Sheng, China","Qingdao, Shandong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",2021-11-29,2021-12-05,2022-01-03,2022-01-11,2022-01-18,2022-01-20,52,11,0,12,6
1377,"Thuan An, Tinh Quang Nam, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Oakland, California, United States","Dallas, Texas, United States",2021-10-16,2021-10-21,2021-11-19,2021-12-06,2021-12-06,2021-12-07,52,10,5,10,3
1378,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",2021-10-31,2021-11-21,2021-12-05,2021-12-13,2021-12-14,2021-12-15,45,10,6,11,6
1379,"Thuan An, Tinh Quang Nam, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Oakland, California, United States","Dallas, Texas, United States",2021-10-16,2021-10-21,2021-11-19,2021-12-06,2021-12-07,2021-12-08,53,10,5,10,3
1380,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-11-09,2021-11-12,2021-11-26,2021-12-01,2021-12-08,2021-12-09,30,11,1,11,4
1384,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-12-06,2021-12-10,2022-01-04,2022-01-11,2022-01-13,2022-01-14,39,12,0,12,4
1385,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-12-06,2021-12-10,2022-01-31,2022-02-06,2022-02-09,2022-02-11,67,12,0,12,4
1386,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-11-25,2021-12-04,2022-01-18,2022-01-24,2022-01-26,2022-01-27,63,11,3,12,5
1392,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-11-12,2021-11-15,2022-01-08,2022-01-13,2022-01-14,2022-01-14,63,11,4,11,0
1394,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Fort Worth, Texas, United States","Fort Worth, Texas, United States",2021-11-06,2021-11-08,2021-12-25,2021-12-26,2021-12-28,2021-12-29,53,11,5,11,0
1395,"Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-11-09,2021-11-14,2022-01-06,2022-01-13,2022-01-14,2022-01-18,70,11,1,11,6
1401,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2022-01-05,2022-01-13,2022-01-31,2022-02-08,2022-02-10,2022-02-16,42,1,2,1,3
1403,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-11-23,2021-11-27,2021-12-29,2022-01-05,2022-01-07,2022-01-12,50,11,1,11,5
1406,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-11-10,2021-11-17,2021-12-03,2021-12-11,2021-12-10,2021-12-13,33,11,2,11,2
1407,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Fort Worth, Texas, United States","Fort Worth, Texas, United States",2021-11-04,2021-11-05,2021-12-21,2021-12-19,2021-12-21,2021-12-23,49,11,3,11,4
1412,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",2021-11-14,2021-11-21,2021-12-06,2021-12-13,2021-12-14,2021-12-15,31,11,6,11,6
1417,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-11-30,2021-12-03,2021-12-30,2022-01-06,2022-01-10,2022-01-12,43,11,1,12,4
1419,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Houston, Texas, United States","Houston, Texas, United States",2021-12-16,2021-12-19,2022-02-11,1900-01-01,2022-02-15,2022-02-17,63,12,3,12,6
1420,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-11-07,2021-11-17,2021-12-10,2021-12-20,2021-12-21,2021-12-22,45,11,6,11,2
1422,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Houston, Texas, United States","Houston, Texas, United States",2021-11-04,2021-11-04,2021-12-21,1900-01-01,2021-12-28,2021-12-30,56,11,3,11,3
1424,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-11-30,2021-12-03,2021-12-27,2022-01-03,2022-01-06,2022-01-11,42,11,1,12,4
1425,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Fort Worth, Texas, United States","Fort Worth, Texas, United States",2021-10-28,2021-10-29,2021-12-13,2021-12-12,2021-12-15,2021-12-20,53,10,3,10,4
1428,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Oakland, California, United States","Dallas, Texas, United States",2021-12-03,2021-12-04,2022-01-19,2022-02-11,2022-02-15,2022-02-17,76,12,4,12,5
1429,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",2021-12-17,2021-12-22,2022-02-02,1900-01-01,2022-02-08,2022-02-09,54,12,4,12,2
1430,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-12-14,2021-12-17,2022-01-17,2022-01-24,2022-01-26,2022-01-31,48,12,1,12,4
1431,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",2021-10-31,2021-11-21,2021-12-08,2021-12-14,2021-12-15,2021-12-16,46,10,6,11,6
1434,"Tianjin Xingang, Tianjin Shi, China","Tianjin Xingang, Tianjin Shi, China","Houston, Texas, United States","Dallas, Texas, United States",2021-12-01,2021-12-05,2022-02-08,1900-01-01,2022-02-16,2022-02-17,78,12,2,12,6
1437,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-12-13,2021-12-16,2022-01-08,2022-01-17,2022-01-18,2022-01-20,38,12,0,12,3
1443,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-11-07,2021-11-17,2021-12-10,2021-12-20,2021-12-20,2021-12-20,43,11,6,11,2
1445,"Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-12-08,2021-12-12,2022-01-31,2022-02-05,2022-02-07,2022-02-08,62,12,2,12,6
1446,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-12-08,2021-12-12,2022-01-31,2022-02-04,2022-02-07,2022-02-08,62,12,2,12,6
1447,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-11-10,2021-11-17,2021-12-07,2021-12-13,2021-12-14,2021-12-15,35,11,2,11,2
1448,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",2021-12-11,2021-12-16,2022-01-23,1900-01-01,2022-01-26,2022-01-27,47,12,5,12,3
1449,"Shekou, Guangdong Sheng, China","Shekou, Guangdong Sheng, China","Houston, Texas, United States","Dallas, Texas, United States",2021-12-13,2021-12-13,2022-01-25,1900-01-01,2022-02-02,2022-02-08,57,12,0,12,0
1451,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-12-07,2021-12-12,2022-01-31,2022-02-04,2022-02-07,2022-02-08,63,12,1,12,6
1452,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-12-06,2021-12-16,2022-01-15,2022-01-23,2022-01-21,2022-01-25,50,12,0,12,3
1453,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",2021-12-11,2021-12-16,2022-01-23,1900-01-01,2022-01-28,2022-01-28,48,12,5,12,3
1454,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-11-19,2021-11-23,2021-12-11,2021-12-16,2021-12-20,2021-12-20,31,11,4,11,1
1456,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-12-09,2021-12-13,2022-01-31,2022-02-14,2022-02-16,2022-02-18,71,12,3,12,0
1457,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-12-04,2021-12-12,2022-01-13,2022-01-23,2022-01-25,2022-01-25,52,12,5,12,6
1458,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-12-06,2021-12-10,2022-01-04,2022-01-14,2022-01-17,2022-01-20,45,12,0,12,4
1460,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-11-19,2021-11-23,2021-12-09,2021-12-14,2021-12-15,2021-12-16,27,11,4,11,1
1461,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",2021-12-22,2021-12-22,2022-01-30,1900-01-01,2022-02-02,2022-02-08,48,12,2,12,2
1463,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Fort Worth, Texas, United States","Fort Worth, Texas, United States",2021-10-28,2021-10-30,2021-12-12,2021-12-16,2021-12-16,2021-12-17,50,10,3,10,5
1467,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-11-10,2021-11-14,2021-12-12,2021-12-21,2021-12-23,2021-12-29,49,11,2,11,6
1470,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-12-13,2021-12-16,2022-01-09,2022-01-14,2022-01-17,2022-01-19,37,12,0,12,3
1471,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",2021-12-11,2021-12-16,2022-01-23,1900-01-01,2022-01-27,2022-01-28,48,12,5,12,3
1472,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",2021-11-07,2021-11-23,2021-12-15,2021-12-25,2021-12-27,2022-01-06,60,11,6,11,1
1475,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-11-22,2021-11-28,2022-01-03,2022-01-09,2022-01-10,2022-01-12,51,11,0,11,6
1477,"Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-11-09,2021-11-15,2022-01-06,2022-01-30,2022-01-31,2022-02-01,84,11,1,11,0
1478,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",2021-11-14,2021-11-29,2021-12-27,2022-01-02,2022-01-07,2022-01-10,57,11,6,11,0
1479,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",2021-11-16,2021-11-23,2021-12-17,2021-12-26,2021-12-28,2022-01-04,49,11,1,11,1
1481,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Los Angeles, California, United States","Fort Worth, Texas, United States",2021-10-24,2021-10-24,2021-12-29,2022-01-02,2022-01-06,2022-01-10,78,10,6,10,6
1482,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",2021-07-18,2021-08-04,2021-09-10,2021-09-18,2021-09-22,2021-09-21,65,7,6,8,2
1489,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",2021-12-11,2021-12-16,2022-01-23,1900-01-01,2022-01-28,2022-01-31,51,12,5,12,3
1491,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-11-09,2021-11-14,2021-12-11,2021-12-20,2021-12-21,2021-12-21,42,11,1,11,6
1492,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",2021-12-04,2021-12-08,2022-01-18,1900-01-01,2022-01-20,2022-01-20,47,12,5,12,2
1494,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-12-06,2021-12-13,2022-01-31,2022-02-05,2022-02-08,2022-02-10,66,12,0,12,0
1505,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",2021-11-07,2021-11-23,2021-12-17,2021-12-23,2021-12-28,2021-12-29,52,11,6,11,1
1506,"Shekou, Guangdong Sheng, China","Shekou, Guangdong Sheng, China","Long Beach, California, United States","Long Beach, California, United States",2021-10-11,2021-10-19,2021-11-18,2021-12-17,2021-12-21,2022-01-17,98,10,0,10,1
1507,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-10-26,2021-10-31,2021-12-21,2021-12-27,2021-12-29,2022-01-07,73,10,1,10,6
1510,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Gainesville, Texas, United States",2021-08-15,2021-08-24,2021-09-22,2021-09-29,2021-10-03,2021-09-30,46,8,6,8,1
1511,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-08-03,2021-08-10,2021-09-08,2021-09-12,2021-09-15,2021-09-20,48,8,1,8,1
1514,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Houston, Texas, United States","Houston, Texas, United States",2021-07-08,2021-07-16,2021-09-10,1900-01-01,2021-09-27,2021-09-17,71,7,3,7,4
1517,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-12-12,2021-12-17,2022-01-04,2022-01-14,2022-01-14,2022-01-18,37,12,6,12,4
1519,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-12-04,2021-12-12,2022-01-15,2022-01-23,2022-01-25,2022-01-27,54,12,5,12,6
1521,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-11-15,2021-11-23,2021-12-11,2021-12-21,2021-12-23,2022-01-12,58,11,0,11,1
1522,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",2021-12-20,2021-12-29,2022-02-08,1900-01-01,2022-02-12,2022-02-17,59,12,0,12,2
1523,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",2021-12-21,2021-12-29,2022-02-07,1900-01-01,2022-02-12,2022-02-16,57,12,1,12,2
1524,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",2021-12-16,2021-12-22,2022-02-03,1900-01-01,2022-02-07,2022-02-07,53,12,3,12,2
1525,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-10-25,2021-10-29,2021-12-21,2021-12-28,2021-12-30,2022-01-07,74,10,0,10,4
1529,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-12-04,2021-12-12,2022-01-17,2022-01-23,2022-01-26,2022-01-31,58,12,5,12,6
1540,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",2021-12-12,2021-12-25,2022-01-20,2022-01-29,2022-01-29,2022-02-01,51,12,6,12,5
1542,"Thuan An, Tinh Quang Nam, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2021-12-21,2022-01-02,2022-02-02,2022-02-09,2022-02-10,2022-02-14,55,12,1,1,6
1544,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",2021-12-19,2022-01-01,2022-01-21,2022-01-29,2022-01-29,2022-02-07,50,12,6,1,5
1546,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-11-22,2021-11-27,2021-12-27,2022-01-02,2022-01-04,2022-01-10,49,11,0,11,5
1547,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",2021-12-19,2022-01-01,2022-01-21,2022-01-29,2022-01-29,2022-02-02,45,12,6,1,5
1549,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",2021-11-14,2021-11-29,2021-12-27,2022-01-02,2022-01-05,2022-01-11,58,11,6,11,0
1550,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",2021-12-20,2022-01-01,2022-01-24,2022-01-30,2022-01-28,2022-02-02,44,12,0,1,5
1552,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-11-15,2021-11-19,2021-12-29,2022-01-03,2022-01-07,2022-01-11,57,11,0,11,4
1555,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-12-14,2021-12-17,2022-01-17,2022-01-23,2022-01-21,2022-01-24,41,12,1,12,4
1558,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",2021-12-24,2021-12-24,2022-02-01,2022-02-01,2022-02-02,2022-02-07,45,12,4,12,4
1561,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-11-09,2021-11-13,2022-01-06,2022-01-14,2022-01-14,2022-01-18,70,11,1,11,5
1566,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-11-15,2021-11-19,2022-01-02,2022-01-09,2022-01-10,2022-01-11,57,11,0,11,4
1569,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",2021-11-14,2021-11-29,2021-12-26,2022-01-02,2022-01-06,2022-01-11,58,11,6,11,0
1570,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-11-23,2021-11-27,2021-12-27,2022-01-02,2022-01-07,2022-01-11,49,11,1,11,5
1579,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",2021-11-26,2021-11-27,2021-12-30,2022-01-03,2022-01-05,2022-01-10,45,11,4,11,5
1584,"Shekou, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Houston, Texas, United States","Dallas, Texas, United States",2021-12-17,2021-12-19,2022-01-26,1900-01-01,2022-02-02,2022-02-08,53,12,4,12,6
1585,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",2021-12-04,2021-12-08,2022-01-07,1900-01-01,2022-01-21,2022-01-21,48,12,5,12,2
1586,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",2021-11-11,2021-11-15,2022-01-08,2022-01-13,2022-01-14,2022-01-17,67,11,3,11,0
